Month_of_Date,Sales,ABDState_Bottle_Profit (Dollars),Bottles_Sold,Volume_Sold 
1/12/2019,15916194,664653,1302231,1212082
2/12/2019,18116104,708994,1457824,1386566
3/12/2019,18139546,729470,1458665,1352873
4/12/2019,20004897,756207,1588914,1499567
5/12/2019,22193521,881696,1782175,1709433
6/12/2019,21858903,778781,1683434,1618026
7/12/2019,20697364,834857,1649128,1548759
8/12/2019,21531283,884395,1734694,1626636
9/12/2019,18188453,690692,1408375,1308897
10/12/2019,32713954,929178,2396571,2362801
11/12/2019,19778515,781519,1542081,1376736
12/12/2019,26064580,981304,1913312,1752904
1/13/2019,17838850,743112,1453242,1326089
2/13/2019,18258606,702708,1404414,1320255
3/13/2019,18221544,724023,1421106,1298133
4/13/2019,22162041,830863,1744106,1656555
5/13/2019,22409325,838478,1747436,1684864
6/13/2019,19734621,733106,1532594,1437005
7/13/2019,22637647,909371,1809277,1663536
8/13/2019,21552820,802101,1675752,1559805
9/13/2019,19126693,780378,1511020,1389416
10/13/2019,32145811,909769,2311777,2241360
11/13/2019,17800950,716711,1385596,1248726
12/13/2019,26214887,1067544,1938372,1750708
1/14/2019,20045933,742035,1569483,1467400
2/14/2019,19183282,714880,1471942,1382314
3/14/2019,19328906,770293,1499646,1377646
4/14/2019,22639172,843342,1757024,1637260
5/14/2019,20966264,796120,1623101,1541197
6/14/2019,24429678,888656,1843349,1727003
7/14/2019,21947353,894166,1744062,1602278
8/14/2019,21170887,829431,1658930,1529544
9/14/2019,23435553,829952,1745361,1617235
10/14/2019,26542408,894486,1976014,1867398
11/14/2019,20272760,765273,1536083,1379795
12/14/2019,30625542,1171284,2241264,2028542
1/15/2019,18498508,760594,1459538,1321350
2/15/2019,21224352,778604,1591962,1494081
3/15/2019,23262370,872254,1752114,1579862
4/15/2019,22857263,879341,1762273,1597904
5/15/2019,22437371,836728,1683839,1602766
6/15/2019,27089683,1008131,2057771,1883666
7/15/2019,22414165,885640,1729239,1570713
8/15/2019,22116398,865109,1740078,1558104
9/15/2019,24113360,925691,1839869,1679661
10/15/2019,25913248,879251,1925849,1774252
11/15/2019,23718715,883289,1773733,1576465
12/15/2019,30683138,1185917,2256178,1978878
1/16/2019,19018055,775480,1471599,1301957
2/16/2019,22801842,851341,1764680,1648110
3/16/2019,23706446,954214,1848907,1605509
4/16/2019,22667025,846332,1734437,1559815
5/16/2019,25819176,988754,1983846,1823961
6/16/2019,27338670,1026479,2121372,1907398
7/16/2019,21988266,852751,1692319,1519271
8/16/2019,24471459,1012645,1781231,1587702
9/16/2019,25318594,921277,1904254,1728796
10/16/2019,27311210,989321,2012889,1785493
11/16/2019,26432735,1015854,1992304,1741649
12/16/2019,32574087,1183229,2362480,2090602
1/17/2019,20068373,857748,1598820,1359768
2/17/2019,23086289,794934,1748381,1622075
3/17/2019,25019491,953902,1945339,1669404
4/17/2019,23176630,871792,1799276,1584325
5/17/2019,28227486,1058675,2151064,1946476
6/17/2019,28626062,1022724,2202624,1961079
7/17/2019,25200615,933976,1954350,1739276
8/17/2019,27647610,1057234,2210764,1901481
9/17/2019,24463708,868174,1841327,1651397
10/17/2019,30779422,1023430,2234662,1959417
11/17/2019,26848928,1005153,2022265,1724606
12/17/2019,31385431,1122721,2281145,1977548
1/18/2019,22606807,952236,1825656,1515722
2/18/2019,22861176,831157,1756603,1541561
3/18/2019,24873041,940705,1925462,1629003
4/18/2019,26214747,961656,2017589,1767688
5/18/2019,30180818,1101787,2343951,2067618
6/18/2019,28574027,1008988,2178069,1913408
7/18/2019,26194368,949913,2045236,1754941
8/18/2019,30507641,1086515,2333500,2025107
9/18/2019,23804291,856949,1828704,1576146
10/18/2019,34609253,1100085,2507113,2150140
11/18/2019,28764343,1026070,2171054,1801355
12/18/2019,35026330,1191520,2502103,2153294
1/19/2019,23466783,954158,1903122,1561963
2/19/2019,24641910,864207,1898027,1680942
3/19/2019,49965457,1812326,3834522,3214305
4/19/2019,27788608,1003481,2200651,1856194
5/19/2019,32756773,1125645,2511118,2173323
6/19/2019,28877031,991512,2209798,1862668
